"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Acanthastrea",3.9,3.34,4.51
"Indo-Pacific","Acropora",24.25,19.66,31.66
"Indo-Pacific","Acropora (branching)",18.48,13.38,23.91
"Indo-Pacific","Acropora (tabulate)",30.02,25.94,39.41
"Indo-Pacific","Astrea",1.36,1.13,1.65
"Indo-Pacific","Astreopora",5,4.17,6.03
"Indo-Pacific","CCA growing on rubble",0.18,0.1,0.27
"Indo-Pacific","Coscinaraea",2.89,2.38,3.52
"Indo-Pacific","CRED-Acanthastrea spp",3.9,3.34,4.51
"Indo-Pacific","CRED-Acropora spp_branching",18.48,13.38,23.91
"Indo-Pacific","CRED-Acropora spp_tabulate",30.02,25.94,39.41
"Indo-Pacific","CRED-Astrea spp",1.36,1.13,1.65
"Indo-Pacific","CRED-Astreopora spp",5,4.17,6.03
"Indo-Pacific","CRED-Branching hard coral",11.79,8.5,15.27
"Indo-Pacific","CRED-CCA growing on hard substrate",0.18,0.11,0.27
"Indo-Pacific","CRED-CCA growing on rubble",0.18,0.1,0.27
"Indo-Pacific","CRED-Columnar hard coral",7.19,6.48,7.94
"Indo-Pacific","CRED-Coscinaraea spp",2.89,2.38,3.52
"Indo-Pacific","CRED-Cyphastrea spp",1.56,1.28,1.93
"Indo-Pacific","CRED-Diploastrea spp",10.72,9.21,12.43
"Indo-Pacific","CRED-Echinophyllia spp",5.25,4.55,5.99
"Indo-Pacific","CRED-Echinopora spp",3.28,2.8,3.8
"Indo-Pacific","CRED-Encrusting hard coral",4.08,3.27,5.15
"Indo-Pacific","CRED-Euphyllia spp",10.97,10.02,11.92
"Indo-Pacific","CRED-Favia spp",0.63,0.47,0.84
"Indo-Pacific","CRED-Favites spp",0.52,0.4,0.66
"Indo-Pacific","CRED-Foliose hard coral",7.24,6.33,8.29
"Indo-Pacific","CRED-Free-living hard coral",38.69,34.78,43.08
"Indo-Pacific","CRED-Fungia spp",29.13,26.18,32.2
