"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Acanthastrea",4.26,3.69,4.9
"Indo-Pacific","Acropora",24.64,19.91,32.51
"Indo-Pacific","Acropora (branching)",18.62,13.41,24.13
"Indo-Pacific","Acropora (tabulate)",30.66,26.42,40.88
"Indo-Pacific","Astrea",1.74,1.5,2.02
"Indo-Pacific","Astreopora",5.32,4.5,6.39
"Indo-Pacific","CCA growing on rubble",0.54,0.45,0.66
"Indo-Pacific","Coscinaraea",3.27,2.74,3.92
"Indo-Pacific","CRED-Acanthastrea spp",4.26,3.69,4.9
"Indo-Pacific","CRED-Acropora spp_branching",18.62,13.41,24.13
"Indo-Pacific","CRED-Acropora spp_tabulate",30.66,26.42,40.88
"Indo-Pacific","CRED-Astrea spp",1.74,1.5,2.02
"Indo-Pacific","CRED-Astreopora spp",5.32,4.5,6.39
"Indo-Pacific","CRED-Branching hard coral",12.09,8.76,15.65
"Indo-Pacific","CRED-CCA growing on hard substrate",0.54,0.44,0.66
"Indo-Pacific","CRED-CCA growing on rubble",0.54,0.45,0.66
"Indo-Pacific","CRED-Columnar hard coral",7.58,6.82,8.37
"Indo-Pacific","CRED-Coscinaraea spp",3.27,2.74,3.92
"Indo-Pacific","CRED-Cyphastrea spp",1.95,1.65,2.32
"Indo-Pacific","CRED-Diploastrea spp",11.1,9.53,12.71
"Indo-Pacific","CRED-Echinophyllia spp",5.59,4.9,6.35
"Indo-Pacific","CRED-Echinopora spp",3.63,3.14,4.18
"Indo-Pacific","CRED-Encrusting hard coral",4.43,3.61,5.54
"Indo-Pacific","CRED-Euphyllia spp",11.31,10.32,12.31
"Indo-Pacific","CRED-Favia spp",1,0.83,1.21
"Indo-Pacific","CRED-Favites spp",0.89,0.76,1.03
"Indo-Pacific","CRED-Foliose hard coral",7.58,6.68,8.59
"Indo-Pacific","CRED-Free-living hard coral",38.91,34.97,43.05
"Indo-Pacific","CRED-Fungia spp",29.37,26.46,32.54
"Indo-Pacific","CRED-Galaxea spp",4.46,3.92,5.1
"Indo-Pacific","CRED-Goniastrea spp",13.47,12.03,14.99
"Indo-Pacific","CRED-Goniopora/Alveopora spp",4.07,3.45,4.79
"Indo-Pacific","CRED-Hard substrate",0,0,0
"Indo-Pacific","CRED-Heliopora spp",7.75,5.58,10.02
"Indo-Pacific","CRED-Hydnophora spp",19.81,17.91,21.71
"Indo-Pacific","CRED-Isopora spp",3.61,3.16,4.11
"Indo-Pacific","CRED-Leptastrea spp",5.56,4.05,7.73
"Indo-Pacific","CRED-Leptoria spp",3.57,3.01,4.24
"Indo-Pacific","CRED-Leptoseris spp",4.5,3.87,5.22
"Indo-Pacific","CRED-Lobophyllia spp",10.46,9.47,11.49
"Indo-Pacific","CRED-Massive hard coral",22.51,19.94,25.27
"Indo-Pacific","CRED-Merulina spp",9.51,8.78,10.26
"Indo-Pacific","CRED-Millepora spp",13.5,12.14,14.95
"Indo-Pacific","CRED-Montipora spp_branching",15.89,11.48,20.48
"Indo-Pacific","CRED-Montipora spp_encrusting",8.63,7.27,10.67
"Indo-Pacific","CRED-Montipora spp_foliose",7.74,6.88,8.7
"Indo-Pacific","CRED-Oulophyllia spp",54.61,49.98,59.11
"Indo-Pacific","CRED-Pachyseris spp",9.61,8.92,10.37
"Indo-Pacific","CRED-Pavona spp_encrusting",4.41,3.72,5.16
"Indo-Pacific","CRED-Pavona spp_foliose",10.77,10.2,11.35
"Indo-Pacific","CRED-Pavona spp_massive",30.91,27.82,34.03
"Indo-Pacific","CRED-Phymastrea spp",1.73,1.56,1.89
"Indo-Pacific","CRED-Platygyra spp",16.55,14.86,18.39
"Indo-Pacific","CRED-Plerogyra spp",7.8,7.27,8.31
"Indo-Pacific","CRED-Pocillopora spp",17.77,12.72,22.85
"Indo-Pacific","CRED-Porites spp_branching",10.63,7.63,13.6
"Indo-Pacific","CRED-Porites spp_encrusting",5.8,4.88,6.95
"Indo-Pacific","CRED-Porites spp_foliose",4.55,4.11,5.01
"Indo-Pacific","CRED-Porites spp_massive",23.56,21.22,26.06
"Indo-Pacific","CRED-Psammocora spp",8.62,6.97,10.72
"Indo-Pacific","CRED-Rubble substrate",0,0,0
"Indo-Pacific","CRED-Stylophora spp",10.8,7.76,14
"Indo-Pacific","CRED-Symphyllia spp",30.05,27.07,32.95
"Indo-Pacific","CRED-Turbinaria spp",7.53,6.56,8.57
"Indo-Pacific","CRED-Turf growing on hard substrate",0,0,0
"Indo-Pacific","CRED-Turf growing on rubble",0,0,0
"Indo-Pacific","Cyphastrea",1.95,1.65,2.32
"Indo-Pacific","Diploastrea",11.1,9.53,12.71
"Indo-Pacific","Dipsastraea",1,0.83,1.21
"Indo-Pacific","Echinophyllia",5.59,4.9,6.35
"Indo-Pacific","Echinopora",3.63,3.14,4.18
"Indo-Pacific","Euphyllia",11.31,10.32,12.31
"Indo-Pacific","Favites",0.89,0.76,1.03
"Indo-Pacific","Fungia",29.37,26.46,32.54
"Indo-Pacific","Galaxea",4.46,3.92,5.1
"Indo-Pacific","Goniastrea",13.47,12.03,14.99
"Indo-Pacific","Hard Coral (branching)",12.09,8.76,15.65
"Indo-Pacific","Hard Coral (columnar)",7.58,6.82,8.37
"Indo-Pacific","Hard Coral (encrusting)",4.43,3.61,5.54
"Indo-Pacific","Hard Coral (foliose)",7.58,6.68,8.59
"Indo-Pacific","Hard Coral (free-living)",38.91,34.97,43.05
"Indo-Pacific","Hard Coral (massive)",22.51,19.94,25.27
"Indo-Pacific","Hard Substrate",0,0,0
"Indo-Pacific","Heliopora",7.75,5.58,10.02
"Indo-Pacific","Hydnophora",19.81,17.91,21.71
"Indo-Pacific","Isopora",3.61,3.16,4.11
"Indo-Pacific","Leptastrea",5.56,4.05,7.73
"Indo-Pacific","Leptoria",3.57,3.01,4.24
"Indo-Pacific","Leptoseris",4.5,3.87,5.22
"Indo-Pacific","Lobophyllia",10.46,9.47,11.49
"Indo-Pacific","Merulina",9.51,8.78,10.26
"Indo-Pacific","Millepora",13.5,12.14,14.95
"Indo-Pacific","Montipora",10.75,8.54,13.28
"Indo-Pacific","Montipora (branching)",15.89,11.48,20.48
"Indo-Pacific","Montipora (encrusting)",8.63,7.27,10.67
"Indo-Pacific","Montipora (foliose)",7.74,6.88,8.7
"Indo-Pacific","Oulophyllia",54.61,49.98,59.11
"Indo-Pacific","Pachyseris",9.61,8.92,10.37
"Indo-Pacific","Phymastrea",1.73,1.56,1.89
"Indo-Pacific","Platygyra",16.55,14.86,18.39
"Indo-Pacific","Plerogyra",7.8,7.27,8.31
"Indo-Pacific","Pocillopora",17.77,12.72,22.85
"Indo-Pacific","Porites",11.13,9.46,12.9
"Indo-Pacific","Porites (branching)",10.63,7.63,13.6
"Indo-Pacific","Porites (massive)",23.56,21.22,26.06
"Indo-Pacific","Psammocora",8.62,6.97,10.72
"Indo-Pacific","Stylophora",10.8,7.76,14
"Indo-Pacific","Symphyllia",30.05,27.07,32.95
"Indo-Pacific","Turbinaria (coral)",7.53,6.56,8.57
"Indo-Pacific","Turf on rubble",0,0,0
"Atlantic","Acropora",33.28,25.32,41.73
"Atlantic","Acropora cervicornis",44.45,37.63,52.18
"Atlantic","Acropora palmata",18.76,13.53,24.93
"Atlantic","Acropora prolifera",13.6,9.79,17.43
"Atlantic","Agaricia",7.99,6.88,9.4
"Atlantic","Agaricia agaricites",9.66,8.68,10.67
"Atlantic","Agaricia fragilis",10.44,8.04,13.94
"Atlantic","Agaricia grahamae",8.22,6.7,10.06
"Atlantic","Agaricia humilis",9.89,8.88,10.91
"Atlantic","Agaricia lamarcki",4.26,3.35,5.66
"Atlantic","Agaricia spp.",9.32,8.27,10.49
"Atlantic","Agaricia tenuifolia",1.19,1.05,1.32
"Atlantic","Agaricia undata",8.95,6.96,11.46
"Atlantic","Bare Rock",0,0,0
"Atlantic","Biofilmed Rock",0,0,0
"Atlantic","Cladocora",5.53,3.96,7.11
"Atlantic","Cladocora arbuscula",5.6,4.02,7.19
"Atlantic","Cliona",0,0,0
"Atlantic","Cliona californiana",0,0,0
"Atlantic","Cliona celata",0,0,0
"Atlantic","Cliona delitrix",0,0,0
"Atlantic","Cliona sp.",0,0,0
"Atlantic","Cliona spp.",0,0,0
"Atlantic","Clionid spp.",0,0,0
"Atlantic","Colpophyllia",7.39,6.93,7.86
"Atlantic","Colpophyllia natans",7.4,6.94,7.87
"Atlantic","Coral:Rock",0,0,0
"Atlantic","Crustose",0.36,0.3,0.43
"Atlantic","Crustose coralline algae",0.36,0.3,0.43
"Atlantic","Dendrogyra",4.43,4.34,4.52
"Atlantic","Dendrogyra cylindrus",4.43,4.34,4.52
"Atlantic","Dichocoenia",3.35,2.89,3.9
"Atlantic","Dichocoenia stokesii",3.37,2.87,3.89
"Atlantic","Diploria",9.67,9.06,10.28
"Atlantic","Diploria labyrinthiformis",9.67,9.07,10.27
"Atlantic","EAM: Rock or Substrate",0,0,0
"Atlantic","Endolithic Algae on Rock",0,0,0
"Atlantic","Eusmilia",1.06,0.77,1.37
