"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Acanthastrea",3.9,3.33,4.5
"Indo-Pacific","Acropora",24.29,19.61,31.84
"Indo-Pacific","Acropora (branching)",18.49,13.21,24.07
"Indo-Pacific","Acropora (tabulate)",30.09,26.01,39.6
"Indo-Pacific","Astrea",1.36,1.13,1.65
"Indo-Pacific","Astreopora",4.98,4.15,6.07
"Indo-Pacific","Bare Rock",-0.475,-0.475,-0.475
"Indo-Pacific","CCA (crustose coralline algae)",0.18,0.1,0.27
"Indo-Pacific","CCA growing on rubble",0.18,0.1,0.27
"Indo-Pacific","Coscinaraea",2.89,2.38,3.5
"Indo-Pacific","CRED-Acanthastrea spp",3.9,3.33,4.5
"Indo-Pacific","CRED-Acropora spp_branching",18.49,13.21,24.07
"Indo-Pacific","CRED-Acropora spp_tabulate",30.09,26.01,39.6
"Indo-Pacific","CRED-Astrea spp",1.36,1.13,1.65
"Indo-Pacific","CRED-Astreopora spp",4.98,4.15,6.07
"Indo-Pacific","CRED-Branching hard coral",11.64,8.4,15.15
"Indo-Pacific","CRED-CCA growing on hard substrate",0.18,0.1,0.27
"Indo-Pacific","CRED-CCA growing on rubble",0.18,0.1,0.27
"Indo-Pacific","CRED-Columnar hard coral",7.23,6.5,7.95
"Indo-Pacific","CRED-Coscinaraea spp",2.89,2.38,3.5
"Indo-Pacific","CRED-Cyphastrea spp",1.57,1.28,1.93
"Indo-Pacific","CRED-Diploastrea spp",10.7,9.17,12.41
"Indo-Pacific","CRED-Echinophyllia spp",5.23,4.56,5.96
"Indo-Pacific","CRED-Echinopora spp",3.27,2.78,3.79
"Indo-Pacific","CRED-Encrusting hard coral",4.09,3.28,5.19
"Indo-Pacific","CRED-Euphyllia spp",11.03,10.06,11.96
"Indo-Pacific","CRED-Favia spp",0.62,0.47,0.84
"Indo-Pacific","CRED-Favites spp",0.51,0.4,0.65
"Indo-Pacific","CRED-Foliose hard coral",7.26,6.32,8.29
"Indo-Pacific","CRED-Free-living hard coral",38.61,34.74,42.86
"Indo-Pacific","CRED-Fungia spp",29.05,26.2,32.15
"Indo-Pacific","CRED-Galaxea spp",4.11,3.59,4.72
"Indo-Pacific","CRED-Goniastrea spp",13.1,11.68,14.57
"Indo-Pacific","CRED-Goniopora/Alveopora spp",3.72,3.12,4.41
"Indo-Pacific","CRED-Hard substrate",-0.475,-0.475,-0.475
"Indo-Pacific","CRED-Heliopora spp",7.54,5.46,9.7
"Indo-Pacific","CRED-Hydnophora spp",19.47,17.6,21.33
"Indo-Pacific","CRED-Isopora spp",3.25,2.82,3.72
"Indo-Pacific","CRED-Leptastrea spp",5.18,3.7,7.41
"Indo-Pacific","CRED-Leptoria spp",3.2,2.65,3.85
