"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Acanthastrea",3.88,3.32,4.49
"Indo-Pacific","Acropora",24.32,19.76,32.04
"Indo-Pacific","Acropora (branching)",18.5,13.42,24.05
"Indo-Pacific","Acropora (tabulate)",30.14,26.1,40.03
"Indo-Pacific","Astrea",1.36,1.12,1.64
"Indo-Pacific","Astreopora",4.98,4.18,6.07
"Indo-Pacific","CCA growing on rubble",0.18,0.1,0.27
"Indo-Pacific","Coscinaraea",2.91,2.39,3.54
"Indo-Pacific","CRED-Acanthastrea spp",3.88,3.32,4.49
"Indo-Pacific","CRED-Acropora spp_branching",18.5,13.42,24.05
"Indo-Pacific","CRED-Acropora spp_tabulate",30.14,26.1,40.03
"Indo-Pacific","CRED-Astrea spp",1.36,1.12,1.64
"Indo-Pacific","CRED-Astreopora spp",4.98,4.18,6.07
"Indo-Pacific","CRED-Branching hard coral",11.84,8.53,15.37
"Indo-Pacific","CRED-CCA growing on hard substrate",0.18,0.1,0.27
"Indo-Pacific","CRED-CCA growing on rubble",0.18,0.1,0.27
"Indo-Pacific","CRED-Columnar hard coral",7.19,6.45,7.93
"Indo-Pacific","CRED-Coscinaraea spp",2.91,2.39,3.54
"Indo-Pacific","CRED-Cyphastrea spp",1.58,1.29,1.95
"Indo-Pacific","CRED-Diploastrea spp",10.73,9.18,12.45
"Indo-Pacific","CRED-Echinophyllia spp",5.23,4.55,5.95
"Indo-Pacific","CRED-Echinopora spp",3.25,2.78,3.79
"Indo-Pacific","CRED-Encrusting hard coral",4.07,3.25,5.19
"Indo-Pacific","CRED-Euphyllia spp",10.99,10.03,11.93
"Indo-Pacific","CRED-Favia spp",0.62,0.47,0.83
"Indo-Pacific","CRED-Favites spp",0.51,0.4,0.65
"Indo-Pacific","CRED-Foliose hard coral",7.24,6.33,8.27
"Indo-Pacific","CRED-Free-living hard coral",38.68,34.84,42.96
"Indo-Pacific","CRED-Fungia spp",28.99,26.13,32.07
"Indo-Pacific","CRED-Galaxea spp",4.1,3.56,4.71
"Indo-Pacific","CRED-Goniastrea spp",13.14,11.74,14.63
"Indo-Pacific","CRED-Goniopora/Alveopora spp",3.72,3.1,4.41
"Indo-Pacific","CRED-Hard substrate",-0.475,-0.475,-0.475
"Indo-Pacific","CRED-Heliopora spp",7.58,5.5,9.67
"Indo-Pacific","CRED-Hydnophora spp",19.51,17.62,21.36
"Indo-Pacific","CRED-Isopora spp",3.24,2.81,3.73
"Indo-Pacific","CRED-Leptastrea spp",5.15,3.69,7.43
"Indo-Pacific","CRED-Leptoria spp",3.2,2.67,3.86
"Indo-Pacific","CRED-Leptoseris spp",4.13,3.53,4.82
"Indo-Pacific","CRED-Lobophyllia spp",10.15,9.17,11.11
"Indo-Pacific","CRED-Massive hard coral",22.27,19.68,25.06
"Indo-Pacific","CRED-Merulina spp",9.15,8.47,9.87
"Indo-Pacific","CRED-Millepora spp",13.13,11.8,14.53
"Indo-Pacific","CRED-Montipora spp_branching",15.75,11.41,20.26
"Indo-Pacific","CRED-Montipora spp_encrusting",8.29,6.89,10.3
"Indo-Pacific","CRED-Montipora spp_foliose",7.37,6.52,8.34
"Indo-Pacific","CRED-Oulophyllia spp",54.1,49.75,58.65
"Indo-Pacific","CRED-Pachyseris spp",9.25,8.56,9.95
"Indo-Pacific","CRED-Pavona spp_encrusting",4.01,3.36,4.78
"Indo-Pacific","CRED-Pavona spp_foliose",10.42,9.89,10.97
"Indo-Pacific","CRED-Pavona spp_massive",30.52,27.54,33.74
"Indo-Pacific","CRED-Phymastrea spp",1.36,1.21,1.51
"Indo-Pacific","CRED-Platygyra spp",16.23,14.58,18.03
"Indo-Pacific","CRED-Plerogyra spp",7.42,6.95,7.89
"Indo-Pacific","CRED-Pocillopora spp",17.3,12.3,22.35
"Indo-Pacific","CRED-Porites spp_branching",10.24,7.34,13.24
"Indo-Pacific","CRED-Porites spp_encrusting",5.44,4.54,6.63
"Indo-Pacific","CRED-Porites spp_foliose",4.2,3.78,4.65
"Indo-Pacific","CRED-Porites spp_massive",23.2,20.85,25.73
"Indo-Pacific","CRED-Psammocora spp",8.25,6.62,10.33
"Indo-Pacific","CRED-Rubble substrate",-0.475,-0.475,-0.475
"Indo-Pacific","CRED-Stylophora spp",10.59,7.57,13.62
"Indo-Pacific","CRED-Symphyllia spp",29.54,26.66,32.43
"Indo-Pacific","CRED-Turbinaria spp",7.16,6.23,8.22
"Indo-Pacific","CRED-Turf growing on hard substrate",-0.475,-0.475,-0.475
"Indo-Pacific","CRED-Turf growing on rubble",-0.475,-0.475,-0.475
"Indo-Pacific","Cyphastrea",1.58,1.29,1.95
"Indo-Pacific","Diploastrea",10.73,9.18,12.45
"Indo-Pacific","Dipsastraea",0.62,0.47,0.83
"Indo-Pacific","Echinophyllia",5.23,4.55,5.95
"Indo-Pacific","Echinopora",3.25,2.78,3.79
"Indo-Pacific","Euphyllia",10.99,10.03,11.93
"Indo-Pacific","Favites",0.51,0.4,0.65
"Indo-Pacific","Fungia",28.99,26.13,32.07
"Indo-Pacific","Galaxea",4.1,3.56,4.71
"Indo-Pacific","Goniastrea",13.14,11.74,14.63
"Indo-Pacific","Hard Coral (branching)",11.84,8.53,15.37
"Indo-Pacific","Hard Coral (columnar)",7.19,6.45,7.93
"Indo-Pacific","Hard Coral (encrusting)",4.07,3.25,5.19
"Indo-Pacific","Hard Coral (foliose)",7.24,6.33,8.27
"Indo-Pacific","Hard Coral (free-living)",38.68,34.84,42.96
"Indo-Pacific","Hard Coral (massive)",22.27,19.68,25.06
"Indo-Pacific","Hard Substrate",-0.475,-0.475,-0.475
"Indo-Pacific","Heliopora",7.58,5.5,9.67
"Indo-Pacific","Hydnophora",19.51,17.62,21.36
"Indo-Pacific","Isopora",3.24,2.81,3.73
"Indo-Pacific","Leptastrea",5.15,3.69,7.43
"Indo-Pacific","Leptoria",3.2,2.67,3.86
"Indo-Pacific","Leptoseris",4.13,3.53,4.82
"Indo-Pacific","Lobophyllia",10.15,9.17,11.11
"Indo-Pacific","Merulina",9.15,8.47,9.87
"Indo-Pacific","Millepora",13.13,11.8,14.53
"Indo-Pacific","Montipora",10.47,8.27,12.97
"Indo-Pacific","Montipora (branching)",15.75,11.41,20.26
"Indo-Pacific","Montipora (encrusting)",8.29,6.89,10.3
"Indo-Pacific","Montipora (foliose)",7.37,6.52,8.34
"Indo-Pacific","Oulophyllia",54.1,49.75,58.65
"Indo-Pacific","Pachyseris",9.25,8.56,9.95
"Indo-Pacific","Phymastrea",1.36,1.21,1.51
"Indo-Pacific","Platygyra",16.23,14.58,18.03
"Indo-Pacific","Plerogyra",7.42,6.95,7.89
"Indo-Pacific","Pocillopora",17.3,12.3,22.35
"Indo-Pacific","Porites",10.77,9.13,12.56
"Indo-Pacific","Porites (branching)",10.24,7.34,13.24
"Indo-Pacific","Porites (massive)",23.2,20.85,25.73
"Indo-Pacific","Psammocora",8.25,6.62,10.33
"Indo-Pacific","Stylophora",10.59,7.57,13.62
"Indo-Pacific","Symphyllia",29.54,26.66,32.43
"Indo-Pacific","Turbinaria (coral)",7.16,6.23,8.22
"Indo-Pacific","Turf on rubble",-0.475,-0.475,-0.475
"Atlantic","Acropora",33.29,25.12,41.38
"Atlantic","Acropora cervicornis",44.22,37.83,52.18
"Atlantic","Acropora palmata",18.4,13.31,24.31
"Atlantic","Acropora prolifera",13.32,9.62,17.09
"Atlantic","Agaricia",7.59,6.53,8.96
"Atlantic","Agaricia agaricites",9.34,8.38,10.29
"Atlantic","Agaricia fragilis",10.09,7.66,13.63
"Atlantic","Agaricia grahamae",7.94,6.41,9.75
"Atlantic","Agaricia humilis",9.56,8.58,10.51
"Atlantic","Agaricia lamarcki",3.96,3.08,5.36
"Atlantic","Agaricia tenuifolia",0.83,0.74,0.93
"Atlantic","Agaricia undata",8.55,6.64,11.1
"Atlantic","Bare Rock",-0.24,-0.24,-0.24
"Atlantic","Biofilmed Rock",-0.24,-0.24,-0.24
"Atlantic","CCA (crustose coralline algae)",-0.01,-0.04,0.03
"Atlantic","Cladocora arbuscula",5.43,3.86,6.96
"Atlantic","Cliona",-5.17,-7.3,-3.04
"Atlantic","Cliona californiana",-5.17,-7.3,-3.04
"Atlantic","Cliona celata",-5.17,-7.3,-3.04
"Atlantic","Cliona delitrix",-10.48,-10.48,-10.48
"Atlantic","Cliona sp.",-5.17,-7.3,-3.04
"Atlantic","Cliona spp.",-5.17,-7.3,-3.04
"Atlantic","Clionid spp.",-5.17,-7.3,-3.04
"Atlantic","Colpophyllia natans",7.04,6.6,7.5
"Atlantic","Coral:Rock",-0.24,-0.24,-0.24
"Atlantic","Dendrogyra cylindrus",3.99,3.9,4.08
"Atlantic","Dichocoenia stokesi",3,2.55,3.5
"Atlantic","Diploria labyrinthiformis",9.31,8.71,9.87
"Atlantic","EAM: Rock or Substrate",-0.24,-0.24,-0.24
"Atlantic","Endolithic Algae on Rock",-0.24,-0.24,-0.24
"Atlantic","Eusmilia fastigiata",0.93,0.67,1.19
"Atlantic","Excavating Bite Scar",-0.01,0.02,-0.04
"Atlantic","Exposed Rock",-0.24,-0.24,-0.24
"Atlantic","Favia",8.46,8.34,8.59
"Atlantic","Favia fragum",8.46,8.34,8.6
"Atlantic","Green Rock",-0.24,-0.24,-0.24
"Atlantic","Hard coral",4.86,4.22,5.57
"Atlantic","Hard Coral (branching)",1.17,0.84,1.51
