"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Acanthastrea",4.26,3.68,4.87
"Indo-Pacific","Acropora",24.52,19.88,32.31
"Indo-Pacific","Acropora (branching)",18.48,13.36,24.14
"Indo-Pacific","Acropora (tabulate)",30.56,26.39,40.48
"Indo-Pacific","Astrea",1.73,1.49,2.02
"Indo-Pacific","Astreopora",5.34,4.51,6.4
"Indo-Pacific","Bare Rock",0,0,0
"Indo-Pacific","CCA (crustose coralline algae)",0.54,0.44,0.66
"Indo-Pacific","CCA growing on rubble",0.55,0.44,0.66
"Indo-Pacific","Coscinaraea",3.26,2.72,3.9
"Indo-Pacific","CRED-Acanthastrea spp",4.26,3.68,4.87
"Indo-Pacific","CRED-Acropora spp_branching",18.48,13.36,24.14
"Indo-Pacific","CRED-Acropora spp_tabulate",30.56,26.39,40.48
"Indo-Pacific","CRED-Astrea spp",1.73,1.49,2.02
"Indo-Pacific","CRED-Astreopora spp",5.34,4.51,6.4
"Indo-Pacific","CRED-Branching hard coral",12.04,8.74,15.66
"Indo-Pacific","CRED-CCA growing on hard substrate",0.54,0.44,0.66
"Indo-Pacific","CRED-CCA growing on rubble",0.55,0.44,0.66
"Indo-Pacific","CRED-Columnar hard coral",7.59,6.82,8.37
"Indo-Pacific","CRED-Coscinaraea spp",3.26,2.72,3.9
"Indo-Pacific","CRED-Cyphastrea spp",1.95,1.65,2.31
"Indo-Pacific","CRED-Diploastrea spp",11.11,9.56,12.79
"Indo-Pacific","CRED-Echinophyllia spp",5.58,4.91,6.33
"Indo-Pacific","CRED-Echinopora spp",3.62,3.13,4.17
"Indo-Pacific","CRED-Encrusting hard coral",4.46,3.61,5.54
"Indo-Pacific","CRED-Euphyllia spp",11.37,10.36,12.35
"Indo-Pacific","CRED-Favia spp",1,0.84,1.22
"Indo-Pacific","CRED-Favites spp",0.88,0.76,1.03
"Indo-Pacific","CRED-Foliose hard coral",7.59,6.64,8.62
"Indo-Pacific","CRED-Free-living hard coral",39.17,35.15,43.36
"Indo-Pacific","CRED-Fungia spp",29.3,26.42,32.4
"Indo-Pacific","CRED-Galaxea spp",4.49,3.94,5.1
"Indo-Pacific","CRED-Goniastrea spp",13.47,12.03,15.05
"Indo-Pacific","CRED-Goniopora/Alveopora spp",4.11,3.48,4.78
"Indo-Pacific","CRED-Hard substrate",0,0,0
"Indo-Pacific","CRED-Heliopora spp",7.74,5.57,10.02
"Indo-Pacific","CRED-Hydnophora spp",19.84,17.89,21.72
"Indo-Pacific","CRED-Isopora spp",3.61,3.15,4.1
"Indo-Pacific","CRED-Leptastrea spp",5.55,4.04,7.76
"Indo-Pacific","CRED-Leptoria spp",3.56,2.99,4.22
"Indo-Pacific","CRED-Leptoseris spp",4.51,3.9,5.2
"Indo-Pacific","CRED-Lobophyllia spp",10.54,9.51,11.51
"Indo-Pacific","CRED-Massive hard coral",22.53,19.91,25.33
"Indo-Pacific","CRED-Merulina spp",9.5,8.79,10.24
"Indo-Pacific","CRED-Millepora spp",13.51,12.11,14.97
"Indo-Pacific","CRED-Montastraea spp",1.55,1.38,1.73
"Indo-Pacific","CRED-Montipora spp_branching",15.96,11.55,20.52
"Indo-Pacific","CRED-Montipora spp_encrusting",8.67,7.21,10.67
"Indo-Pacific","CRED-Montipora spp_foliose",7.74,6.89,8.69
"Indo-Pacific","CRED-Oulophyllia spp",54.42,49.94,59.04
"Indo-Pacific","CRED-Pachyseris spp",9.56,8.85,10.34
"Indo-Pacific","CRED-Pavona spp_encrusting",4.39,3.71,5.19
"Indo-Pacific","CRED-Pavona spp_foliose",10.76,10.18,11.34
"Indo-Pacific","CRED-Pavona spp_massive",30.98,27.94,34.12
"Indo-Pacific","CRED-Phymastrea spp",1.73,1.57,1.89
"Indo-Pacific","CRED-Platygyra spp",16.57,14.87,18.38
"Indo-Pacific","CRED-Plerogyra spp",7.79,7.26,8.31
"Indo-Pacific","CRED-Pocillopora spp",17.5,12.55,22.76
"Indo-Pacific","CRED-Porites spp_branching",10.53,7.61,13.7
"Indo-Pacific","CRED-Porites spp_encrusting",5.84,4.92,6.97
"Indo-Pacific","CRED-Porites spp_foliose",4.55,4.12,5.01
"Indo-Pacific","CRED-Porites spp_massive",23.62,21.23,26.05
"Indo-Pacific","CRED-Psammocora spp",8.62,6.94,10.76
"Indo-Pacific","CRED-Rubble substrate",0,0,0
"Indo-Pacific","CRED-Stylophora spp",10.76,7.63,13.99
"Indo-Pacific","CRED-Symphyllia spp",29.94,26.93,32.87
"Indo-Pacific","CRED-Turbinaria spp",7.5,6.59,8.56
"Indo-Pacific","CRED-Turf growing on hard substrate",0,0,0
"Indo-Pacific","CRED-Turf growing on rubble",0,0,0
"Indo-Pacific","Cyphastrea",1.95,1.65,2.31
"Indo-Pacific","Diploastrea",11.11,9.56,12.79
"Indo-Pacific","Dipsastraea",1,0.84,1.22
"Indo-Pacific","Echinophyllia",5.58,4.91,6.33
"Indo-Pacific","Echinopora",3.62,3.13,4.17
"Indo-Pacific","Euphyllia",11.37,10.36,12.35
"Indo-Pacific","Favites",0.88,0.76,1.03
"Indo-Pacific","Fungia",29.3,26.42,32.4
"Indo-Pacific","Galaxea",4.49,3.94,5.1
"Indo-Pacific","Goniastrea",13.47,12.03,15.05
"Indo-Pacific","Hard coral",15.56,13.48,17.81
"Indo-Pacific","Hard Coral (branching)",12.04,8.74,15.66
"Indo-Pacific","Hard Coral (columnar)",7.59,6.82,8.37
"Indo-Pacific","Hard Coral (encrusting)",4.46,3.61,5.54
"Indo-Pacific","Hard Coral (foliose)",7.59,6.64,8.62
"Indo-Pacific","Hard Coral (free-living)",39.17,35.15,43.36
