"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Acanthastrea",4.26,3.71,4.89
"Indo-Pacific","Acropora",24.59,19.94,32.49
"Indo-Pacific","Acropora (branching)",18.71,13.55,24.13
"Indo-Pacific","Acropora (tabulate)",30.46,26.34,40.86
"Indo-Pacific","Astrea",1.74,1.5,2.02
"Indo-Pacific","Astreopora",5.33,4.5,6.42
"Indo-Pacific","CCA growing on rubble",0.54,0.44,0.66
"Indo-Pacific","Coscinaraea",3.27,2.72,3.92
"Indo-Pacific","CRED-Acanthastrea spp",4.26,3.71,4.89
"Indo-Pacific","CRED-Acropora spp_branching",18.71,13.55,24.13
"Indo-Pacific","CRED-Acropora spp_tabulate",30.46,26.34,40.86
"Indo-Pacific","CRED-Astrea spp",1.74,1.5,2.02
"Indo-Pacific","CRED-Astreopora spp",5.33,4.5,6.42
"Indo-Pacific","CRED-Branching hard coral",12.05,8.68,15.64
"Indo-Pacific","CRED-CCA growing on hard substrate",0.54,0.44,0.66
"Indo-Pacific","CRED-CCA growing on rubble",0.54,0.44,0.66
"Indo-Pacific","CRED-Columnar hard coral",7.58,6.81,8.36
"Indo-Pacific","CRED-Coscinaraea spp",3.27,2.72,3.92
"Indo-Pacific","CRED-Cyphastrea spp",1.95,1.64,2.32
"Indo-Pacific","CRED-Diploastrea spp",11.07,9.56,12.78
"Indo-Pacific","CRED-Echinophyllia spp",5.61,4.92,6.37
"Indo-Pacific","CRED-Echinopora spp",3.62,3.13,4.18
"Indo-Pacific","CRED-Encrusting hard coral",4.41,3.59,5.52
"Indo-Pacific","CRED-Euphyllia spp",11.36,10.35,12.33
"Indo-Pacific","CRED-Favia spp",1,0.84,1.22
"Indo-Pacific","CRED-Favites spp",0.88,0.76,1.03
"Indo-Pacific","CRED-Foliose hard coral",7.58,6.67,8.59
"Indo-Pacific","CRED-Free-living hard coral",39,35.22,43.18
"Indo-Pacific","CRED-Fungia spp",29.52,26.55,32.67
"Indo-Pacific","CRED-Galaxea spp",4.49,3.93,5.11
"Indo-Pacific","CRED-Goniastrea spp",13.43,12.01,14.98
"Indo-Pacific","CRED-Goniopora/Alveopora spp",4.09,3.48,4.79
"Indo-Pacific","CRED-Hard substrate",0,0,0
"Indo-Pacific","CRED-Heliopora spp",7.86,5.65,10.04
"Indo-Pacific","CRED-Hydnophora spp",19.74,17.84,21.69
"Indo-Pacific","CRED-Isopora spp",3.62,3.18,4.11
"Indo-Pacific","CRED-Leptastrea spp",5.56,4.09,7.75
"Indo-Pacific","CRED-Leptoria spp",3.56,2.99,4.24
"Indo-Pacific","CRED-Leptoseris spp",4.51,3.87,5.18
"Indo-Pacific","CRED-Lobophyllia spp",10.5,9.49,11.51
"Indo-Pacific","CRED-Massive hard coral",22.55,20,25.36
"Indo-Pacific","CRED-Merulina spp",9.51,8.81,10.24
"Indo-Pacific","CRED-Millepora spp",13.47,12.1,14.99
"Indo-Pacific","CRED-Montipora spp_branching",15.96,11.46,20.46
"Indo-Pacific","CRED-Montipora spp_encrusting",8.68,7.25,10.7
"Indo-Pacific","CRED-Montipora spp_foliose",7.72,6.87,8.69
"Indo-Pacific","CRED-Oulophyllia spp",54.58,50.04,59.09
"Indo-Pacific","CRED-Pachyseris spp",9.6,8.89,10.34
"Indo-Pacific","CRED-Pavona spp_encrusting",4.39,3.7,5.19
"Indo-Pacific","CRED-Pavona spp_foliose",10.78,10.19,11.36
"Indo-Pacific","CRED-Pavona spp_massive",30.86,27.84,34.08
"Indo-Pacific","CRED-Phymastrea spp",1.72,1.56,1.89
"Indo-Pacific","CRED-Platygyra spp",16.61,14.9,18.45
"Indo-Pacific","CRED-Plerogyra spp",7.78,7.26,8.3
"Indo-Pacific","CRED-Pocillopora spp",17.66,12.67,22.78
"Indo-Pacific","CRED-Porites spp_branching",10.52,7.58,13.66
"Indo-Pacific","CRED-Porites spp_encrusting",5.81,4.87,7
"Indo-Pacific","CRED-Porites spp_foliose",4.55,4.11,5.02
"Indo-Pacific","CRED-Porites spp_massive",23.59,21.22,26.12
"Indo-Pacific","CRED-Psammocora spp",8.52,6.89,10.65
"Indo-Pacific","CRED-Rubble substrate",0,0,0
"Indo-Pacific","CRED-Stylophora spp",10.82,7.76,13.97
"Indo-Pacific","CRED-Symphyllia spp",29.97,27.1,32.9
"Indo-Pacific","CRED-Turbinaria spp",7.49,6.56,8.55
"Indo-Pacific","CRED-Turf growing on hard substrate",0,0,0
"Indo-Pacific","CRED-Turf growing on rubble",0,0,0
"Indo-Pacific","Cyphastrea",1.95,1.64,2.32
"Indo-Pacific","Diploastrea",11.07,9.56,12.78
"Indo-Pacific","Dipsastraea",1,0.84,1.22
"Indo-Pacific","Echinophyllia",5.61,4.92,6.37
"Indo-Pacific","Echinopora",3.62,3.13,4.18
"Indo-Pacific","Euphyllia",11.36,10.35,12.33
"Indo-Pacific","Favites",0.88,0.76,1.03
"Indo-Pacific","Fungia",29.52,26.55,32.67
"Indo-Pacific","Galaxea",4.49,3.93,5.11
"Indo-Pacific","Goniastrea",13.43,12.01,14.98
"Indo-Pacific","Hard Coral (branching)",12.05,8.68,15.64
"Indo-Pacific","Hard Coral (columnar)",7.58,6.81,8.36
"Indo-Pacific","Hard Coral (encrusting)",4.41,3.59,5.52
"Indo-Pacific","Hard Coral (foliose)",7.58,6.67,8.59
"Indo-Pacific","Hard Coral (free-living)",39,35.22,43.18
"Indo-Pacific","Hard Coral (massive)",22.55,20,25.36
"Indo-Pacific","Hard Substrate",0,0,0
"Indo-Pacific","Heliopora",7.86,5.65,10.04
"Indo-Pacific","Hydnophora",19.74,17.84,21.69
"Indo-Pacific","Isopora",3.62,3.18,4.11
"Indo-Pacific","Leptastrea",5.56,4.09,7.75
"Indo-Pacific","Leptoria",3.56,2.99,4.24
"Indo-Pacific","Leptoseris",4.51,3.87,5.18
"Indo-Pacific","Lobophyllia",10.5,9.49,11.51
"Indo-Pacific","Merulina",9.51,8.81,10.24
"Indo-Pacific","Millepora",13.47,12.1,14.99
"Indo-Pacific","Montipora",10.79,8.53,13.28
"Indo-Pacific","Montipora (branching)",15.96,11.46,20.46
"Indo-Pacific","Montipora (encrusting)",8.68,7.25,10.7
"Indo-Pacific","Montipora (foliose)",7.72,6.87,8.69
"Indo-Pacific","Oulophyllia",54.58,50.04,59.09
"Indo-Pacific","Pachyseris",9.6,8.89,10.34
"Indo-Pacific","Phymastrea",1.72,1.56,1.89
"Indo-Pacific","Platygyra",16.61,14.9,18.45
"Indo-Pacific","Plerogyra",7.78,7.26,8.3
"Indo-Pacific","Pocillopora",17.66,12.67,22.78
"Indo-Pacific","Porites",11.12,9.45,12.95
"Indo-Pacific","Porites (branching)",10.52,7.58,13.66
"Indo-Pacific","Porites (massive)",23.59,21.22,26.12
"Indo-Pacific","Psammocora",8.52,6.89,10.65
"Indo-Pacific","Stylophora",10.82,7.76,13.97
"Indo-Pacific","Symphyllia",29.97,27.1,32.9
"Indo-Pacific","Turbinaria (coral)",7.49,6.56,8.55
"Indo-Pacific","Turf on rubble",0,0,0
"Atlantic","Acropora",33.36,25.36,41.54
"Atlantic","Acropora cervicornis",44.54,38,52.24
"Atlantic","Acropora palmata",18.96,13.62,25.03
"Atlantic","Acropora prolifera",13.71,9.85,17.48
"Atlantic","Agaricia",7.96,6.85,9.34
"Atlantic","Agaricia agaricites",9.64,8.65,10.63
"Atlantic","Agaricia fragilis",10.44,8.02,13.95
"Atlantic","Agaricia grahamae",8.24,6.7,10.09
"Atlantic","Agaricia humilis",9.92,8.9,10.93
"Atlantic","Agaricia lamarcki",4.24,3.36,5.68
"Atlantic","Agaricia tenuifolia",1.18,1.05,1.32
"Atlantic","Agaricia undata",8.9,7.01,11.55
"Atlantic","Bare Rock",0,0,0
"Atlantic","Biofilmed Rock",0,0,0
"Atlantic","CCA (crustose coralline algae)",0.37,0.31,0.43
"Atlantic","Cladocora arbuscula",5.54,4.01,7.16
"Atlantic","Cliona",0,0,0
"Atlantic","Cliona californiana",0,0,0
"Atlantic","Cliona celata",0,0,0
"Atlantic","Cliona delitrix",0,0,0
"Atlantic","Cliona sp.",0,0,0
"Atlantic","Cliona spp.",0,0,0
