"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Acanthastrea",4.26,3.69,4.89
"Indo-Pacific","Acropora",24.57,19.91,32.07
"Indo-Pacific","Acropora (branching)",18.6,13.44,24.17
"Indo-Pacific","Acropora (tabulate)",30.54,26.39,39.97
"Indo-Pacific","Astrea",1.74,1.49,2.03
"Indo-Pacific","Astreopora",5.35,4.51,6.43
"Indo-Pacific","CCA growing on rubble",0.54,0.44,0.66
"Indo-Pacific","Coscinaraea",3.27,2.73,3.9
"Indo-Pacific","CRED-Acanthastrea spp",4.26,3.69,4.89
"Indo-Pacific","CRED-Acropora spp_branching",18.6,13.44,24.17
"Indo-Pacific","CRED-Acropora spp_tabulate",30.54,26.39,39.97
"Indo-Pacific","CRED-Astrea spp",1.74,1.49,2.03
"Indo-Pacific","CRED-Astreopora spp",5.35,4.51,6.43
"Indo-Pacific","CRED-Branching hard coral",12.1,8.63,15.68
"Indo-Pacific","CRED-CCA growing on hard substrate",0.54,0.44,0.66
"Indo-Pacific","CRED-CCA growing on rubble",0.54,0.44,0.66
"Indo-Pacific","CRED-Columnar hard coral",7.59,6.81,8.36
"Indo-Pacific","CRED-Coscinaraea spp",3.27,2.73,3.9
"Indo-Pacific","CRED-Cyphastrea spp",1.95,1.64,2.32
"Indo-Pacific","CRED-Diploastrea spp",11.07,9.57,12.81
"Indo-Pacific","CRED-Echinophyllia spp",5.61,4.89,6.33
"Indo-Pacific","CRED-Echinopora spp",3.63,3.15,4.18
"Indo-Pacific","CRED-Encrusting hard coral",4.46,3.61,5.55
"Indo-Pacific","CRED-Euphyllia spp",11.32,10.33,12.31
"Indo-Pacific","CRED-Favia spp",0.99,0.84,1.21
"Indo-Pacific","CRED-Favites spp",0.88,0.76,1.03
"Indo-Pacific","CRED-Foliose hard coral",7.59,6.67,8.63
"Indo-Pacific","CRED-Free-living hard coral",38.98,35.18,43.28
"Indo-Pacific","CRED-Fungia spp",29.4,26.52,32.57
"Indo-Pacific","CRED-Galaxea spp",4.47,3.93,5.09
"Indo-Pacific","CRED-Goniastrea spp",13.43,12.05,14.97
"Indo-Pacific","CRED-Goniopora/Alveopora spp",4.1,3.48,4.82
"Indo-Pacific","CRED-Hard substrate",0,0,0
"Indo-Pacific","CRED-Heliopora spp",7.78,5.57,9.99
"Indo-Pacific","CRED-Hydnophora spp",19.81,17.97,21.7
"Indo-Pacific","CRED-Isopora spp",3.61,3.16,4.13
"Indo-Pacific","CRED-Leptastrea spp",5.6,4.05,7.79
"Indo-Pacific","CRED-Leptoria spp",3.54,2.98,4.22
"Indo-Pacific","CRED-Leptoseris spp",4.53,3.88,5.21
"Indo-Pacific","CRED-Lobophyllia spp",10.51,9.5,11.49
"Indo-Pacific","CRED-Massive hard coral",22.56,20,25.31
"Indo-Pacific","CRED-Merulina spp",9.49,8.78,10.25
"Indo-Pacific","CRED-Millepora spp",13.47,12.1,14.96
"Indo-Pacific","CRED-Montipora spp_branching",15.99,11.51,20.51
"Indo-Pacific","CRED-Montipora spp_encrusting",8.68,7.22,10.69
"Indo-Pacific","CRED-Montipora spp_foliose",7.76,6.9,8.71
"Indo-Pacific","CRED-Oulophyllia spp",54.56,49.96,59.04
"Indo-Pacific","CRED-Pachyseris spp",9.59,8.88,10.32
"Indo-Pacific","CRED-Pavona spp_encrusting",4.4,3.69,5.19
"Indo-Pacific","CRED-Pavona spp_foliose",10.77,10.19,11.37
"Indo-Pacific","CRED-Pavona spp_massive",30.99,27.86,34.11
"Indo-Pacific","CRED-Phymastrea spp",1.73,1.57,1.89
"Indo-Pacific","CRED-Platygyra spp",16.57,14.9,18.43
"Indo-Pacific","CRED-Plerogyra spp",7.79,7.26,8.3
"Indo-Pacific","CRED-Pocillopora spp",17.54,12.59,22.69
"Indo-Pacific","CRED-Porites spp_branching",10.49,7.54,13.5
"Indo-Pacific","CRED-Porites spp_encrusting",5.83,4.91,6.99
"Indo-Pacific","CRED-Porites spp_foliose",4.54,4.12,5
"Indo-Pacific","CRED-Porites spp_massive",23.54,21.17,26.02
"Indo-Pacific","CRED-Psammocora spp",8.57,6.91,10.67
"Indo-Pacific","CRED-Rubble substrate",0,0,0
"Indo-Pacific","CRED-Stylophora spp",10.77,7.71,13.92
"Indo-Pacific","CRED-Symphyllia spp",29.94,26.98,32.91
"Indo-Pacific","CRED-Turbinaria spp",7.53,6.58,8.59
"Indo-Pacific","CRED-Turf growing on hard substrate",0,0,0
"Indo-Pacific","CRED-Turf growing on rubble",0,0,0
"Indo-Pacific","Cyphastrea",1.95,1.64,2.32
"Indo-Pacific","Diploastrea",11.07,9.57,12.81
"Indo-Pacific","Dipsastraea",0.99,0.84,1.21
"Indo-Pacific","Echinophyllia",5.61,4.89,6.33
"Indo-Pacific","Echinopora",3.63,3.15,4.18
"Indo-Pacific","Euphyllia",11.32,10.33,12.31
"Indo-Pacific","Favites",0.88,0.76,1.03
"Indo-Pacific","Fungia",29.4,26.52,32.57
"Indo-Pacific","Galaxea",4.47,3.93,5.09
"Indo-Pacific","Goniastrea",13.43,12.05,14.97
"Indo-Pacific","Hard Coral (branching)",12.1,8.63,15.68
"Indo-Pacific","Hard Coral (columnar)",7.59,6.81,8.36
"Indo-Pacific","Hard Coral (encrusting)",4.46,3.61,5.55
"Indo-Pacific","Hard Coral (foliose)",7.59,6.67,8.63
"Indo-Pacific","Hard Coral (free-living)",38.98,35.18,43.28
"Indo-Pacific","Hard Coral (massive)",22.56,20,25.31
"Indo-Pacific","Hard Substrate",0,0,0
"Indo-Pacific","Heliopora",7.78,5.57,9.99
"Indo-Pacific","Hydnophora",19.81,17.97,21.7
"Indo-Pacific","Isopora",3.61,3.16,4.13
"Indo-Pacific","Leptastrea",5.6,4.05,7.79
"Indo-Pacific","Leptoria",3.54,2.98,4.22
"Indo-Pacific","Leptoseris",4.53,3.88,5.21
"Indo-Pacific","Lobophyllia",10.51,9.5,11.49
"Indo-Pacific","Merulina",9.49,8.78,10.25
"Indo-Pacific","Millepora",13.47,12.1,14.96
"Indo-Pacific","Montipora",10.81,8.54,13.3
"Indo-Pacific","Montipora (branching)",15.99,11.51,20.51
"Indo-Pacific","Montipora (encrusting)",8.68,7.22,10.69
"Indo-Pacific","Montipora (foliose)",7.76,6.9,8.71
"Indo-Pacific","Oulophyllia",54.56,49.96,59.04
"Indo-Pacific","Pachyseris",9.59,8.88,10.32
"Indo-Pacific","Phymastrea",1.73,1.57,1.89
"Indo-Pacific","Platygyra",16.57,14.9,18.43
"Indo-Pacific","Plerogyra",7.79,7.26,8.3
"Indo-Pacific","Pocillopora",17.54,12.59,22.69
"Indo-Pacific","Porites",11.1,9.44,12.88
"Indo-Pacific","Porites (branching)",10.49,7.54,13.5
"Indo-Pacific","Porites (massive)",23.54,21.17,26.02
"Indo-Pacific","Psammocora",8.57,6.91,10.67
"Indo-Pacific","Stylophora",10.77,7.71,13.92
"Indo-Pacific","Symphyllia",29.94,26.98,32.91
"Indo-Pacific","Turbinaria (coral)",7.53,6.58,8.59
"Indo-Pacific","Turf on rubble",0,0,0
"Atlantic","Acropora",33.3,25.29,41.65
"Atlantic","Acropora cervicornis",44.16,37.61,52.17
"Atlantic","Acropora palmata",18.77,13.43,24.83
"Atlantic","Acropora prolifera",13.75,9.91,17.55
"Atlantic","Agaricia",7.91,6.86,9.3
"Atlantic","Agaricia agaricites",9.68,8.67,10.68
