Species Code	Species Name
Aaga	Agaricia agaricites
Aarc	Aplysina archeri
Aasa	Avrainvillea asarifolia
Aatl	Antipathes atlantica
Abar	Antipathes barbadensis
Aber	Actinia bermudensis
Abra	Amphiroa brasiliana
Acal	Acetabularia calyculus
Acan	Acanthophora sp.
Acau	Aplysina cauliformis
Acer	Acropora cervicornis
Acet	Acetabularia sp.
Acla	Agelas clathrodes
Acom	Amphimedon compressa
Acon	Agelas conifera
Acre	Acetabularia crenulata
Acro	Acropora sp.
Adis	Agelas dispar
Aele	Actinoporus elegans
Aell	Avrainvillea elliotii
Afis	Aplysina fistularis
Afra	Agaricia fragilis
Aful	Aplysina fulva
Agar	Agaricia sp.
Agel	Agelas sp.
Agra	Agaricia grahamae
Ahan	Amphiroa hancockii
Ahir	Antipathes hirta
Ahum	Agaricia humilis
Akre	Anthopleura krebsi
Alac	Aplysina lacunosa
Alam	Agaricia lamarcki
Alen	Antipathes lenta
Alon	Avrainvillea longicaulis
Amag	Astropyga magnifica
Amfr	Amphiroa fragilissima
Amir	Alicia mirabilis
Amph	Amphiroa sp.
Anad	Anadyomene sp.
Anam	Anamobaea sp.
Anba	Anotrichum barbatum
Angr	Antipathes gracilis
Anig	Avrainvillea nigricans
Anoc	Arachnanthus nocturnus
Anti	Antipathes sp.
Aors	Anamobaea orstedii
Apal	Acropora palmata
Apen	Antipathes pennacea
Aply	Aplysina sp.
Apro	Acropora prolifera
Araw	Avrainvillea rawsonii
Arig	Amphiroa rigida
Asal	Anadyomene saldanhae
Asch	Agelas schmidti
Asol	Astrangia solitaria
Aspi	Acanthophora spicifera
Aste	Anadyomene stellata
Asyd	Ascidia sydneiensis
Atag	Aiptasia tagetes
Atan	Antipathes tanacetum
Atax	Asparagopsis taxiformis
Aten	Agaracia tenuifolia
Atri	Amphiroa tribulus
Aund	Agaricia undata
Avar	Anthosigmella varians
Avra	Avrainvillea sp.
Awie	Agelas wiedenmyeri
Aypt	Ayptasia sp.
Azeb	Arca zebra
Bala	Balanophyllia sp.
Bann	Bartholomea annulata
Bart	Bartholomea sp.
Basb	Briareum asbestinum
Bbru	Bispira brunnea
Bflo	Balanophyllia floridana
Bgra	Bunodosoma granuliferum
Bmin	Bugula minima
Bmon	Bostrychia montagnei
Bnig	Botrylloides nigrum
Boer	Batophora oerstedii
Botr	Botrylloides sp.
Bous	Botryllus sp.
