"region","name","label","calc","calc_lower","calc_upper"
"indo-pacific","Acanthastrea","ACAS",4.25,3.67,4.86
"indo-pacific","Acropora","Acropora",24.66,19.99,32.19
"indo-pacific","Acropora (branching)","ACBR",18.91,13.63,24.6
"indo-pacific","Acropora (tabulate)","ACTA",30.4,26.35,39.77
"indo-pacific","Astrea","ASTS",1.74,1.5,2.02
"indo-pacific","Astreopora","ASSP",5.33,4.5,6.39
"indo-pacific","CCA growing on rubble","CCAR",0.55,0.44,0.67
"indo-pacific","Coscinaraea","COSP",3.29,2.74,3.95
"indo-pacific","CRED-Acanthastrea spp","ACAS",4.25,3.67,4.86
"indo-pacific","CRED-Acropora spp_branching","ACBR",18.91,13.63,24.6
"indo-pacific","CRED-Acropora spp_tabulate","ACTA",30.4,26.35,39.77
"indo-pacific","CRED-Astrea spp","ASTS",1.74,1.5,2.02
"indo-pacific","CRED-Astreopora spp","ASSP",5.33,4.5,6.39
"indo-pacific","CRED-Branching hard coral","BR",12.08,8.73,15.66
"indo-pacific","CRED-CCA growing on hard substrate","CCAH",0.54,0.44,0.66
"indo-pacific","CRED-CCA growing on rubble","CCAR",0.55,0.44,0.67
"indo-pacific","CRED-Columnar hard coral","COL",7.59,6.83,8.37
"indo-pacific","CRED-Coscinaraea spp","COSP",3.29,2.74,3.95
"indo-pacific","CRED-Cyphastrea spp","CYPS",1.96,1.65,2.33
"indo-pacific","CRED-Diploastrea spp","DISP",11.06,9.54,12.74
"indo-pacific","CRED-Echinophyllia spp","ECHL",5.61,4.91,6.35
"indo-pacific","CRED-Echinopora spp","ECHP",3.64,3.15,4.19
"indo-pacific","CRED-Encrusting hard coral","ENC",4.45,3.62,5.56
"indo-pacific","CRED-Euphyllia spp","EUSP",11.29,10.32,12.3
"indo-pacific","CRED-Favia spp","FASP",0.99,0.83,1.21
"indo-pacific","CRED-Favites spp","FAVS",0.89,0.76,1.03
"indo-pacific","CRED-Foliose hard coral","FOL",7.57,6.65,8.6
"indo-pacific","CRED-Free-living hard coral","FREE",39.14,35.23,43.29
"indo-pacific","CRED-Fungia spp","FUSP",29.45,26.54,32.59
"indo-pacific","CRED-Galaxea spp","GASP",4.47,3.92,5.08
"indo-pacific","CRED-Goniastrea spp","GONS",13.5,12.04,15.05
"indo-pacific","CRED-Goniopora/Alveopora spp","GOAL",4.08,3.45,4.8
"indo-pacific","CRED-Hard substrate","HARD",0,0,0
"indo-pacific","CRED-Heliopora spp","HCOE",7.82,5.62,10.03
"indo-pacific","CRED-Hydnophora spp","HYSP",19.76,17.88,21.71
"indo-pacific","CRED-Isopora spp","ISSP",3.62,3.17,4.11
"indo-pacific","CRED-Leptastrea spp","LEPT",5.61,4.09,7.81
"indo-pacific","CRED-Leptoria spp","LPHY",3.56,2.97,4.24
"indo-pacific","CRED-Leptoseris spp","LESP",4.51,3.89,5.18
"indo-pacific","CRED-Lobophyllia spp","LOBS",10.51,9.5,11.52
"indo-pacific","CRED-Massive hard coral","MASS",22.5,19.9,25.38
"indo-pacific","CRED-Merulina spp","MESP",9.51,8.79,10.26
"indo-pacific","CRED-Millepora spp","MISP",13.5,12.07,14.95
"indo-pacific","CRED-Montipora spp_branching","MOBR",15.89,11.51,20.38
"indo-pacific","CRED-Montipora spp_encrusting","MOEN",8.71,7.32,10.71
"indo-pacific","CRED-Montipora spp_foliose","MOFO",7.73,6.87,8.7
"indo-pacific","CRED-Oulophyllia spp","OUSP",54.6,50.12,59.14
"indo-pacific","CRED-Pachyseris spp","PACS",9.59,8.87,10.33
"indo-pacific","CRED-Pavona spp_encrusting","PAEN",4.39,3.71,5.19
"indo-pacific","CRED-Pavona spp_foliose","PAFO",10.77,10.2,11.34
"indo-pacific","CRED-Pavona spp_massive","PAMA",30.76,27.82,33.99
"indo-pacific","CRED-Phymastrea spp","PHSP",1.73,1.56,1.89
